"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2015;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2016;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2017;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2018;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2019;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2020;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2021;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2022;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2023;[zł]";"gminy łącznie z miastami na prawach powiatu;wydatki majątkowe inwestycyjne;2024;[zł]";
1011033;"Poddębice (3)";11787064,28;4678952,26;10152620,40;7360988,51;53397188,96;53769375,45;13097032,00;24945987,73;30341139,86;26898466,02;
1011043;"Uniejów (3)";34063554,74;3651448,29;4948920,43;13238189,17;51406461,64;13112227,60;28718336,23;24922560,83;67345623,00;14443564,09;
1011052;"Wartkowice (2)";5221887,36;5825686,60;9385357,66;9216054,23;9086375,97;8839212,07;9492905,23;21867361,37;16170481,29;15592087,58;
1011062;"Zadzim (2)";377679,97;504566,09;3033478,45;5180656,87;5842571,43;5332322,14;2374940,20;4092100,25;15661081,23;10851023,18;
1012000;"Powiat radomszczański";44393240,08;32881696,46;51554018,06;68533533,19;117410054,17;82215401,93;118209996,07;149395881,94;320528390,50;252055281,88;
1012011;"Radomsko (1)";17919868,12;16528704,99;21139511,10;16753590,18;66330779,75;35862190,34;43574147,84;43783076,57;82334092,57;41785471,84;
1012022;"Dobryszyce (2)";1895309,68;773796,88;2497130,99;1533023,10;3712636,07;2376481,69;9289630,84;7600780,47;22911360,97;6774475,29;
1012032;"Gidle (2)";2747067,09;1310655,89;1022471,85;6236394,96;1307297,31;2311339,05;1860938,73;8763532,42;7827812,28;15660517,34;
1012042;"Gomunice (2)";915392,00;1253747,75;845089,58;3213054,69;3981399,02;6333319,81;11038999,98;10444685,67;25255867,42;36263308,37;
1012053;"Kamieńsk (3)";2654553,83;2429637,56;4357388,49;6890183,32;6401030,66;3909617,90;16829108,62;15444477,97;41612674,73;35910204,87;
1012062;"Kobiele Wielkie (2)";634333,42;586160,55;2445342,54;4613533,15;1432464,53;2110146,25;914371,55;2463488,79;13376778,53;2719297,01;
1012072;"Kodrąb (2)";2796473,99;1677544,42;2135206,32;2602658,68;5454801,76;2867125,90;6240296,35;2237465,01;17986865,30;15462192,86;
1012082;"Lgota Wielka (2)";3464434,53;1375230,78;3625962,20;5472193,61;5859416,84;4672644,14;7958193,77;5641239,68;15567660,23;16641884,07;
1012092;"Ładzice (2)";787051,60;391736,38;2177175,65;3792555,11;9074233,99;4314852,20;1612804,37;5200503,36;9699295,87;8323612,25;
1012102;"Masłowice (2)";3179724,13;1774958,22;2156128,25;2812236,51;2196620,86;4182338,80;1806043,97;5625292,05;9274474,21;11751459,25;
1012113;"Przedbórz (3)";3868273,20;2267609,87;3538572,28;5040504,36;5271255,76;4349513,64;4285255,88;10230468,20;24199812,97;21065235,31;
1012122;"Radomsko (2)";1159026,38;1499297,38;2600301,20;2028447,32;3232058,24;2995444,88;4993375,46;9869974,92;19474119,24;16663638,48;
1012132;"Wielgomłyny (2)";1376598,96;663262,54;1483123,95;3559652,91;2391178,13;3189936,33;2655532,26;9104578,89;18221849,40;14037472,32;
1012142;"Żytno (2)";995133,15;349353,25;1530613,66;3985505,29;764881,25;2740451,00;5151296,45;12986317,94;12785726,78;8996512,62;
1013000;"Powiat rawski";23888883,17;18620052,97;23670355,30;39828378,24;35406857,65;30463069,82;44454390,07;77602272,28;72151486,48;97594080,89;
1013011;"Rawa Mazowiecka (1)";7191497,43;5842725,55;9231471,45;14206736,23;15478339,85;13907304,57;22028436,29;27190444,99;23757670,29;28651352,06;
1013023;"Biała Rawska (3)";5029891,72;5921335,31;8398033,98;12531273,18;9912226,95;5607486,18;6660451,05;12014822,74;12234238,85;20196748,90;
1013032;"Cielądz (2)";928442,98;1502062,13;1036179,49;2840403,03;1013339,59;3914204,19;2346629,92;5554603,79;5789862,59;10987040,60;
1013042;"Rawa Mazowiecka (2)";6083915,94;3174931,65;3377436,47;7829490,23;6990357,83;4052116,39;9984478,83;19184471,47;15580866,89;16819926,69;
1013052;"Regnów (2)";277409,06;869415,06;274818,96;210565,33;385586,33;499617,21;837471,73;7285637,97;2862698,85;7642080,64;
1013062;"Sadkowice (2)";4377726,04;1309583,27;1352414,95;2209910,24;1627007,10;2482341,28;2596922,25;6372291,32;11926149,01;13296932,00;
1014000;"Powiat sieradzki";54906495,90;29210577,72;64706289,48;92551938,12;78008751,42;71471129,62;82769837,79;174366715,97;236606117,61;237235985,90;
1014011;"Sieradz (1)";18817329,36;12523947,46;24868817,57;38314162,55;23031129,00;21180188,33;28734680,70;39541375,79;39213029,73;40320195,81;
1014023;"Błaszki (3)";1201915,64;2899282,73;2940676,42;5696876,33;6079200,82;6971271,59;9647767,31;18919694,79;25431482,79;30152715,98;
1014032;"Brąszewice (2)";3974301,95;1362751,55;2271091,77;2196602,64;2636457,83;3034905,19;3683862,16;6726632,14;18979073,63;16392442,10;
1014042;"Brzeźnio (2)";7334497,12;1098887,30;2482353,78;6646101,76;7679096,96;4059617,02;572122,85;9564013,91;24941966,35;26925471,48;
1014052;"Burzenin (2)";1058656,87;1327997,20;4631306,97;3829651,86;1398830,57;5175958,68;4305786,14;5509617,74;12928631,43;23370225,92;
1014062;"Goszczanów (2)";6182347,61;447754,64;2631790,97;2272170,62;3324122,69;2861944,53;2894742,68;14945591,90;25887831,06;10082886,96;
1014072;"Klonowa (2)";383943,84;248211,50;1447598,71;1766555,13;1314748,12;3994761,43;2296107,54;6052586,14;9928924,24;28001746,57;
1014082;"Sieradz (2)";5195255,32;1367688,28;2854281,78;6481373,76;4099636,84;7476953,59;7249202,09;15045030,87;11559506,52;11659169,13;
1014093;"Warta (3)";3551771,06;2399613,85;9924434,49;12624122,63;21027795,42;6425175,53;13416548,22;32602890,52;18780473,88;22829692,75;
1014102;"Wróblew (2)";3907419,44;4291108,37;7617923,49;10870749,97;3623028,16;7958343,64;3003770,11;12991513,25;28799025,71;16830411,64;
1014113;"Złoczew (3)";3299057,69;1243334,84;3036013,53;1853570,87;3794705,01;2332010,09;6965247,99;12467768,92;20156172,27;10671027,56;
1015000;"Powiat skierniewicki";23860927,88;15084841,92;20088128,08;57030437,57;36616315,16;56133075,62;58474293,93;59232707,23;147199820,74;112615744,53;
1015012;"Bolimów (2)";7103556,84;1902143,77;3465826,40;3264593,21;1075315,16;3875941,29;5584833,24;;;;
1015013;"Bolimów (3)";;;;;;;;7622171,35;14950793,34;7496238,38;
1015022;"Głuchów (2)";2083824,14;2179336,21;5767333,60;12531660,93;1609544,86;3401480,53;12696147,97;14838812,17;20925236,42;14175517,53;
1015032;"Godzianów (2)";1886583,07;1867447,65;1054781,61;2441359,69;1206138,91;4366897,99;5761331,93;2711343,07;14243480,41;9902180,48;
1015042;"Kowiesy (2)";2268843,59;2392384,98;2409444,21;5562037,91;4723500,23;4900249,85;4408323,13;6856819,26;15464345,88;8601863,88;
1015052;"Lipce Reymontowskie (2)";1410363,76;470867,30;911738,53;6723866,87;3168109,03;6756466,84;7942031,85;5152826,76;4971470,94;14861637,65;
1015062;"Maków (2)";2959658,34;2234189,73;2502402,21;11112563,43;11143806,43;20234061,13;9367919,66;3980051,31;12807804,32;17031783,67;
1015072;"Nowy Kawęczyn (2)";1602265,13;1132668,89;1073222,71;2048225,01;2322435,46;2279551,67;3555838,05;3379530,79;14171245,45;10844165,50;
1015082;"Skierniewice (2)";3960455,53;2363805,38;1516298,24;4460792,03;7782843,01;9018442,39;8665591,69;12354210,17;25635129,47;23003492,17;
1015092;"Słupia (2)";585377,48;541998,01;1387080,57;8885338,49;3584622,07;1299983,93;492276,41;2336942,35;24030314,51;6698865,27;
1016000;"Powiat tomaszowski";61373687,57;65498419,57;142136221,03;123165529,77;138945307,83;128109116,25;101650028,86;126039603,82;307547591,09;230748123,17;
1016011;"Tomaszów Mazowiecki (1)";15768896,41;32605349,97;86379776,44;39577605,71;48174174,57;31173585,10;14066886,73;29126536,83;59686755,54;97923744,67;
1016022;"Będków (2)";540049,08;379384,41;1862614,12;1914214,70;563810,33;1163756,73;1076600,34;3752947,72;13896482,38;11660650,95;
1016032;"Budziszewice (2)";1691423,72;320319,70;1827803,03;6828811,75;1087892,57;2010476,00;915776,47;8018387,55;14916208,74;12093628,38;
1016042;"Czerniewice (2)";1501320,62;2133699,19;3897999,11;3180751,68;7423058,75;6645471,41;16308887,10;3470313,91;29142421,37;3355002,58;
1016052;"Inowłódz (2)";7146938,66;2742864,69;3679240,31;5559579,00;13457987,87;10333996,17;7187630,55;3083991,19;25383388,31;;
1016053;"Inowłódz (3)";;;;;;;;;;6689838,72;
1016062;"Lubochnia (2)";6930249,18;7274953,86;9287735,07;15428008,86;16481701,75;26432611,43;7697526,93;7533854,05;32842133,01;12033324,61;
1016072;"Rokiciny (2)";4950796,09;2219333,01;3395087,22;1711016,63;6674369,17;6459081,18;5416356,07;8031798,64;29142223,70;13932063,21;
1016082;"Rzeczyca (2)";4701261,44;2275838,12;3013441,10;4649190,98;11513875,28;7630838,19;5507747,29;15896847,70;31673652,18;12641693,53;
1016092;"Tomaszów Mazowiecki (2)";7449970,29;9941320,06;18157068,98;26356094,09;18974425,42;19563167,84;13788934,82;17063195,58;27007378,91;17858682,03;
1016102;"Ujazd (2)";4893615,97;4394841,37;7807296,11;12507961,01;9162344,76;11279382,04;23035280,46;23810130,34;;;
1016103;"Ujazd (3)";;;;;;;;;18058405,46;32341012,56;
1016112;"Żelechlinek (2)";5799166,11;1210515,19;2828159,54;5452295,36;5431667,36;5416750,16;6648402,10;6251600,31;25798541,49;10218481,93;
1017000;"Powiat wieluński";50704572,28;30270887,19;46875389,89;56481978,05;86876237,58;53003823,04;75276819,70;107545669,25;197304705,74;179775345,26;
1017012;"Biała (2)";1300929,76;1076007,69;1399918,38;2368980,29;5097249,47;4895398,55;8874913,66;10360960,94;14616320,22;13619071,27;
1017022;"Czarnożyły (2)";1417933,59;2214906,49;3878332,95;5442404,75;7290596,88;2405911,84;4534057,88;10471718,01;25505488,62;15633159,27;
1017032;"Konopnica (2)";1503585,53;1662058,24;1222942,32;2737687,28;3257606,32;860182,09;3681413,03;4869248,87;15820081,94;13898824,48;
1017042;"Mokrsko (2)";3130134,18;1642670,90;3171154,37;1475564,98;1503550,71;3090023,27;5136032,34;10118443,54;13466439,20;18822393,58;
1017052;"Osjaków (2)";1805056,90;1875883,30;4243737,52;6633866,54;7794232,53;2881695,69;5954171,03;11678796,58;26449161,40;;
1017053;"Osjaków (3)";;;;;;;;;;11837306,99;
1017062;"Ostrówek (2)";840790,09;807427,38;2012699,48;622803,04;1665615,07;1037092,12;3809447,15;15228268,30;7962021,95;20778039,79;
1017072;"Pątnów (2)";644368,51;1320607,97;5249638,61;9173833,97;8930141,76;4078799,15;3870617,03;11414931,04;20451999,54;9924343,36;
1017082;"Skomlin (2)";4520421,17;1127297,55;1561456,31;414371,34;351470,69;3696989,40;3277803,64;2790043,84;5572836,88;13077495,23;
1017093;"Wieluń (3)";29765226,52;15961123,43;22196567,81;21524934,83;34054944,21;25331310,77;29851995,34;25256687,21;51649241,92;46291350,55;
1017102;"Wierzchlas (2)";5776126,03;2582904,24;1938942,14;6087531,03;16930829,94;4726420,16;6286368,60;5356570,92;15811114,07;15893360,74;
1018000;"Powiat wieruszowski";14426987,85;18503580,23;20372193,53;27310513,09;50762074,17;26839865,96;34571986,54;45283988,44;64722815,19;101619658,38;
1018012;"Bolesławiec (2)";2799413,70;613190,53;842034,35;2259434,39;1850436,14;1018172,38;1454849,72;787155,89;3909237,74;;
1018013;"Bolesławiec (3)";;;;;;;;;;18523390,06;
1018022;"Czastary (2)";474416,76;928710,50;2618565,90;3126385,22;559503,40;1108896,53;2680690,09;11259442,66;2989289,46;6855795,82;
1018032;"Galewice (2)";1655586,14;2640347,12;5247998,05;3714795,12;11250265,94;7643791,20;12031311,02;7023154,64;16324103,38;19089849,64;
1018042;"Lututów (2)";387577,75;285584,92;706010,08;3011944,60;5946006,65;;;;;;
1018043;"Lututów (3)";;;;;;2583941,34;4568762,94;8830970,73;14811742,93;12683927,11;
1018052;"Łubnice (2)";1601963,62;612111,74;2714964,16;2239944,84;3911372,78;3053842,04;1377161,62;1081907,19;2398269,00;11774477,51;
1018062;"Sokolniki (2)";1252805,30;3579130,12;3028152,38;5052614,85;13482689,15;2189893,33;2141135,11;9109887,67;17104348,54;12289901,21;
1018073;"Wieruszów (3)";6255224,58;9844505,30;5214468,61;7905394,07;13761800,11;9241329,14;10318076,04;7191469,66;7185824,14;20402317,03;
1019000;"Powiat zduńskowolski";16800659,08;17981851,53;30383048,14;55902903,34;48107650,19;44711946,22;40671562,52;60990210,12;92332363,08;83574274,90;
1019011;"Zduńska Wola (1)";8670776,24;11217903,21;21229501,89;34795674,74;25237320,65;28202593,47;26576741,04;31415144,53;32493287,79;28045496,12;
1019023;"Szadek (3)";2857809,53;820917,02;1220194,02;1944781,33;2422781,04;4579922,63;5326002,67;6765603,19;14121129,06;21525656,55;
1019032;"Zapolice (2)";2253926,45;712436,16;2810055,67;4961038,50;8822563,28;3664454,25;4541592,38;6353691,85;13784792,80;18212696,50;
1019042;"Zduńska Wola (2)";3018146,86;5230595,14;5123296,56;14201408,77;11624985,22;8264975,87;4227226,43;16455770,55;31933153,43;15790425,73;
1020000;"Powiat zgierski";73346200,55;64474481,47;76251556,91;121364002,30;125332337,42;119967342,59;120480980,79;121212810,50;216558455,63;216953710,34;
1020011;"Głowno (1)";2185554,06;3197917,27;6429921,18;7792800,37;3902026,01;4905594,33;7329767,78;7998179,66;9600561,15;30465998,64;
1020021;"Ozorków (1)";4943831,37;4405902,04;9213113,43;9983834,40;18919464,03;13795301,24;9965464,85;10845166,80;11570408,08;10104428,81;
1020031;"Zgierz (1)";6372987,21;12562334,35;12513265,44;49092902,60;31132961,72;36633895,34;52459012,92;39376627,39;64334871,45;53155821,71;
1020043;"Aleksandrów Łódzki (3)";21238235,18;16814761,17;9102431,79;18986391,12;26858642,94;23717092,20;14879679,22;17212581,02;27321102,28;25576821,78;
1020052;"Głowno (2)";4205253,81;1667749,23;2309737,47;1065598,35;1430127,14;3066526,31;2411904,18;4869134,51;13243082,58;7179680,78;
1020062;"Ozorków (2)";1557851,47;2011643,57;2691192,94;4038019,18;3437254,83;2007262,28;1621351,00;3716821,64;10136476,07;11270724,63;
1020072;"Parzęczew (2)";2860573,89;3935906,51;4417546,49;7110025,65;5173417,78;2375130,59;2088815,89;7509430,24;21580616,76;;
1020073;"Parzęczew (3)";;;;;;;;;;21895940,00;
1020083;"Stryków (3)";22356055,33;13211097,49;16939325,17;14376378,66;20093372,73;23559424,18;19502600,71;9294228,72;31695919,87;31373629,45;
1020092;"Zgierz (2)";7625858,23;6667169,84;12635023,00;8918051,97;14385070,24;9907116,12;10222384,24;20390640,52;27075417,39;25930664,54;
1021000;"Powiat brzeziński";20931298,77;8215528,13;16701702,32;36958389,01;27522573,36;22735730,95;17019008,30;58245405,01;96839183,88;87047983,50;
1021011;"Brzeziny (1)";7799495,27;2543525,69;6215624,97;10565886,43;10312766,92;13839847,24;2670162,64;20364648,87;12921104,07;21729378,76;
1021022;"Brzeziny (2)";5897092,49;2954889,13;3897426,89;11237974,23;3708868,11;3286827,95;3176526,94;10549093,33;15586952,17;17569826,14;
1021032;"Dmosin (2)";2142005,88;1235969,09;1680363,39;3647647,24;5391129,05;1851628,63;2369565,94;10279405,14;14662530,34;17912580,95;
1021042;"Jeżów (2)";4409073,10;582221,40;1002847,88;971078,73;2169774,79;670587,19;2107865,63;8909568,07;;;
1021043;"Jeżów (3)";;;;;;;;;29987417,47;9212739,85;
1021052;"Rogów (2)";683632,03;898922,82;3905439,19;10535802,38;5940034,49;3086839,94;6694887,15;8142689,60;23681179,83;20623457,80;
1061000;"Powiat m. Łódź";1071742722,38;548951909,05;401346557,18;426500792,51;617786223,85;706839520,53;661966113,46;1050202448,27;1800999365,90;703113641,92;
1061011;"Łódź (1)";1071742722,38;548951909,05;401346557,18;426500792,51;617786223,85;706839520,53;661966113,46;1050202448,27;1800999365,90;703113641,92;
1062000;"Powiat m. Piotrków Trybunalski";71724446,92;39619956,07;37363132,22;81260998,00;48851599,04;58084875,71;31459040,69;49977613,86;125440082,70;83202281,48;
1062011;"Piotrków Trybunalski (1)";71724446,92;39619956,07;37363132,22;81260998,00;48851599,04;58084875,71;31459040,69;49977613,86;125440082,70;83202281,48;
1063000;"Powiat m. Skierniewice";41055065,33;28132679,17;34172674,69;52055605,41;29536556,23;27790976,23;51606462,31;72999295,31;109460846,95;41008189,65;
1063011;"Skierniewice (1)";41055065,33;28132679,17;34172674,69;52055605,41;29536556,23;27790976,23;51606462,31;72999295,31;109460846,95;41008189,65;
1200000;"MAŁOPOLSKIE";2283917756,54;1589300152,90;1936599853,35;3028479172,54;3143922010,52;3060451530,19;3420629366,79;4106973849,63;5631208720,69;4888342522,45;
1201000;"Powiat bocheński";39696851,54;28232554,41;47258192,14;95047279,33;105534631,73;80875605,49;95109408,32;111097862,19;157621110,27;207800467,55;
1201011;"Bochnia (1)";13915098,02;6045343,84;14894265,20;24445950,06;27582494,42;22510751,21;25783384,82;21977691,58;23314591,56;41859568,87;
1201022;"Bochnia (2)";5640432,71;6598634,45;8200613,05;17826057,59;15645886,78;14428807,12;15629727,32;13767129,75;29852771,40;59613265,40;
1201032;"Drwinia (2)";4361386,81;3628249,70;4825724,38;7888314,96;15803104,20;10574459,33;11203605,28;6137868,78;14838398,14;15787480,80;
1201042;"Lipnica Murowana (2)";1156724,79;585234,82;1947701,48;4483589,43;5239743,00;5751805,09;5651992,12;12267113,20;8270591,12;15277060,07;
1201052;"Łapanów (2)";6734114,99;1215872,25;2513500,19;1852220,02;7270070,70;3287082,81;2284829,99;12992963,24;7973816,14;7700070,24;
1201063;"Nowy Wiśnicz (3)";2286682,25;5210233,77;5837278,56;16307236,23;13242608,76;8135263,70;13424246,85;18094852,12;17129577,55;26097820,89;
1201072;"Rzezawa (2)";3216358,33;3456283,69;5674701,75;7585869,89;11399669,71;10820691,68;9446863,24;11749110,90;20091345,90;10641951,64;
1201082;"Trzciana (2)";1378297,83;748116,87;848829,71;6373657,15;6143827,60;4040030,00;4524296,15;7118791,72;23572715,43;22649067,50;
1201092;"Żegocina (2)";1007755,81;744585,02;2515577,82;8284384,00;3207226,56;1326714,55;7160462,55;6992340,90;12577303,03;8174182,14;
1202000;"Powiat brzeski";48328190,38;20823307,26;27423545,42;67120190,17;95430940,39;66154439,38;53669775,23;84346182,37;134442611,66;118988097,64;
1202012;"Borzęcin (2)";11461194,22;1059802,31;5509288,59;2601687,24;10204518,29;3952138,33;2390190,36;2899613,94;18308572,06;26270683,78;
1202023;"Brzesko (3)";8030712,36;5751318,12;5076295,93;10139937,23;14152215,18;9222064,69;14583303,13;17659095,55;29944324,83;24342985,06;
1202033;"Czchów (3)";1778284,56;2273165,22;2525081,30;9725685,78;7755469,89;4630728,98;7247605,60;5984653,42;6976992,35;11194341,57;
1202042;"Dębno (2)";14291131,54;5444029,16;5020374,62;12298932,38;12663829,08;13503407,13;10687190,89;15937878,45;23669242,80;15785952,44;
1202052;"Gnojnik (2)";5449114,70;2434790,37;4641831,86;8482827,80;20520108,20;15976973,92;9805572,44;8986904,49;20848188,93;11723071,53;
1202062;"Iwkowa (2)";2443135,99;2407869,89;1093169,74;12106993,55;17650524,02;7593088,47;2593724,59;13607768,15;16187004,24;13117639,73;
1202072;"Szczurowa (2)";4874617,01;1452332,19;3557503,38;11764126,19;12484275,73;11276037,86;6362188,22;19270268,37;18508286,45;16553423,53;
1203000;"Powiat chrzanowski";39057278,39;37669598,82;55628759,70;78906919,79;60526215,87;61246343,25;63637701,19;92784315,16;116803775,27;119663692,80;
1203013;"Alwernia (3)";1307988,30;1896866,26;2964807,78;4785994,95;4603646,12;5560791,19;7690707,29;4323385,61;14838680,27;22095933,36;
1203022;"Babice (2)";2172266,78;4230644,23;5223008,66;5380456,66;2956153,48;4931282,13;8395318,71;12074849,04;13819525,99;18921728,74;
1203033;"Chrzanów (3)";14324763,26;10894510,78;18901058,73;28734203,23;23004367,14;23609467,89;15427085,19;28676925,66;38047844,02;30065732,51;
1203043;"Libiąż (3)";8981462,87;7871202,64;13013971,32;18889670,40;16616127,66;16916790,37;18205666,36;24248268,74;13468476,29;7305921,44;
1203053;"Trzebinia (3)";12270797,18;12776374,91;15525913,21;21116594,55;13345921,47;10228011,67;13918923,64;23460886,11;36629248,70;41274376,75;
1204000;"Powiat dąbrowski";21430266,34;15511929,70;17330027,73;28457059,32;15787596,20;28638053,11;29532916,04;43757101,64;85342120,88;99679920,70;
1204012;"Bolesław (2)";627008,04;500188,58;145428,48;355421,50;185421,01;1201317,82;1030647,26;4911489,51;7307427,95;6420784,78;
1204023;"Dąbrowa Tarnowska (3)";10897472,65;8503622,31;9046307,82;13341720,64;6519863,25;12142007,02;8853330,19;10518196,34;19194608,81;17490774,48;
1204032;"Gręboszów (2)";1039285,06;208050,24;320388,21;1393287,81;386922,42;3844890,45;2435246,08;1537909,19;7700579,66;16202902,79;
1204042;"Mędrzechów (2)";409080,77;715844,73;433933,44;321997,77;279294,05;596639,63;1718798,64;3336289,38;8273381,67;15612500,35;
1204052;"Olesno (2)";1096366,15;322310,45;649582,31;3640476,87;3958728,81;1860968,59;1860452,49;5600954,99;13571652,03;19992017,66;
1204062;"Radgoszcz (2)";3736910,07;1095619,21;2127048,54;2213817,64;1220583,96;1918137,10;3173562,04;7328889,49;12737123,80;5196068,58;
1204073;"Szczucin (3)";3624143,60;4166294,18;4607338,93;7190337,09;3236782,70;7074092,50;10460879,34;10523372,74;16557346,96;18764872,06;
1205000;"Powiat gorlicki";71544183,11;37814130,04;61452283,29;79899122,68;93112491,05;142342120,12;127317607,57;162164862,51;273391980,70;212384884,56;
1205011;"Gorlice (1)";24209417,07;9074771,74;13281282,19;13791102,72;24913557,42;24358081,97;38775787,78;33843637,28;39279743,37;62395583,85;
1205023;"Biecz (3)";10516248,53;6945996,20;13510597,01;18244655,79;6752658,14;10795958,02;11378211,09;17923593,47;16298747,44;23502398,24;
1205033;"Bobowa (3)";7096574,82;3288343,04;8825443,60;14501240,96;7934568,22;14642544,61;8771783,84;16576463,11;93543947,50;19012164,97;
1205042;"Gorlice (2)";3504054,73;8239216,53;11276906,02;12308069,92;12322152,02;11723428,34;11007845,29;13956397,28;20984527,19;24622491,27;
1205052;"Lipinki (2)";4479740,53;939966,50;2321891,33;1985189,27;4686180,32;9511539,00;8516780,34;18754745,13;18983553,42;12354898,99;
1205062;"Łużna (2)";4893554,26;2166229,74;2215937,54;3892785,35;11471057,66;6017638,14;9369004,64;14499174,31;17810558,05;13709277,59;
1205072;"Moszczenica (2)";1784081,24;893624,03;3381390,50;2701076,21;10432296,07;22964637,47;10939250,89;20061419,37;26465941,51;14604023,08;
1205082;"Ropa (2)";2831816,09;377442,88;840821,18;863231,09;6195831,32;6329215,39;6832143,05;4861184,49;5684459,93;14796045,88;
1205092;"Sękowa (2)";6799231,52;2458892,42;2976963,87;7195764,32;6193959,92;28722958,98;13041346,28;11861288,41;22110967,59;11075158,13;
1205102;"Uście Gorlickie (2)";5429464,32;3429646,96;2821050,05;4416007,05;2210229,96;7276118,20;8685454,37;9826959,66;12229534,70;16312842,56;
1206000;"Powiat krakowski";180997487,61;137782081,13;160549118,73;289796334,52;310608915,63;318231057,51;334752832,60;357818315,88;417413506,99;463132566,46;
1206012;"Czernichów (2)";3274822,00;5867047,66;8361682,50;12719186,65;16224036,51;10324711,17;20156097,27;16269605,38;31149818,52;18463692,72;
1206022;"Igołomia-Wawrzeńczyce (2)";3251709,84;2469385,63;4973842,26;7794696,03;7561536,39;8265624,08;2525718,99;11118525,36;11754090,25;2560469,55;
1206032;"Iwanowice (2)";5720658,83;3467601,22;4484314,91;15115327,19;15462199,87;10447152,19;10256310,22;6118055,98;17591670,57;6843264,29;
1206042;"Jerzmanowice-Przeginia (2)";2522795,07;4527931,01;6287707,75;8353511,16;10104702,19;17785615,78;6146033,13;6414903,03;11991512,26;22893201,40;
1206052;"Kocmyrzów-Luborzyca (2)";5040059,16;4292120,70;8827402,81;13038864,74;16069253,96;33037587,60;26415893,55;21013377,16;29344616,40;31715247,21;
1206063;"Krzeszowice (3)";11167983,09;9496049,48;9059723,76;30139027,06;30143123,97;18931028,84;23281561,64;21890019,79;30308660,14;51289505,32;
1206072;"Liszki (2)";5946444,45;15889048,28;13612029,20;12345620,90;9781736,53;8636123,75;19210709,53;17458003,33;44837356,88;45093743,53;
1206082;"Michałowice (2)";6900747,19;5369077,74;6518956,27;9281192,19;6971855,53;10081160,54;17954737,46;20529269,91;12190408,80;13298483,38;
1206092;"Mogilany (2)";6807582,02;6397880,26;4916364,07;18286737,84;23565130,25;10588844,91;10088755,86;20825693,32;24089046,97;35671687,94;
1206103;"Skała (3)";8109274,16;2409096,37;7079019,70;7133720,30;9649162,57;6108130,57;5017264,37;12249874,85;6878588,14;13250346,70;
1206113;"Skawina (3)";25951867,71;21005943,84;24983682,29;28988495,00;46047525,59;49476938,16;52134207,36;51238521,36;46763249,99;47404545,37;
1206123;"Słomniki (3)";8117919,11;7997655,77;10108206,39;10655685,20;22635051,47;27678947,64;23178958,89;20620001,61;20191850,52;20330785,24;
1206132;"Sułoszowa (2)";8567490,11;2623908,52;3824869,58;8564634,21;5135956,91;3175295,22;3900087,71;12891866,55;6083361,96;20518261,07;
1206143;"Świątniki Górne (3)";5989653,12;6138544,65;6350205,70;18825448,54;8765072,01;14559340,49;12928046,95;22995477,62;22686117,97;19303140,25;
1206152;"Wielka Wieś (2)";31921266,47;9124360,06;12384687,63;19521386,91;15706958,57;16883166,42;22791505,79;32760613,73;37504811,54;38013272,00;
1206162;"Zabierzów (2)";18406473,80;21747298,82;19023645,26;28593172,58;27613459,05;28027550,29;35476710,97;33768981,14;42015129,50;45023966,20;
1206172;"Zielonki (2)";23300741,48;8959131,12;9752778,65;40439628,02;39172154,26;44223839,86;43290232,91;29655525,76;22033216,58;31458954,29;
1207000;"Powiat limanowski";91335483,67;60513191,41;81973345,19;121374554,55;105814475,89;106870287,02;116532890,62;163903872,25;256997393,48;281299485,12;
1207011;"Limanowa (1)";21137656,20;7324023,82;14854304,93;22420083,20;23654086,65;28910666,28;22278367,77;12140866,96;40050652,46;37427473,04;
1207021;"Mszana Dolna (1)";9420668,32;7763830,79;2931394,21;7049100,86;4770870,62;5977598,05;6476968,93;13633839,73;9940906,64;16015092,70;
1207032;"Dobra (2)";6597403,47;4118227,61;7330740,17;11875593,40;10831226,88;4124652,89;9680509,14;12907117,77;22971463,74;17554628,39;
1207042;"Jodłownik (2)";7180757,75;3496330,18;3978702,36;7349354,36;5168268,09;6783088,95;21935230,29;31890545,33;45635410,97;21231657,17;
1207052;"Kamienica (2)";7592414,89;4218089,08;2706780,18;6606091,93;8115849,77;7667989,89;4785272,88;9851978,97;15342220,89;13532409,30;
1207062;"Laskowa (2)";5392267,50;2354948,73;3370010,04;3711117,49;3697796,53;4306204,82;6383730,07;9390525,17;13813523,22;32236211,70;
1207072;"Limanowa (2)";9844209,73;11688426,33;24220212,06;23912452,08;23514598,56;20903721,10;15560044,84;22420087,35;34165237,62;58704920,72;
