"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;razem;2015;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2016;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2017;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2018;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2019;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2020;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2021;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2022;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2023;[zł]";"gminy łącznie z miastami na prawach powiatu;razem;2024;[zł]";
0613062;"Siemień (2)";3336293,26;3146855,95;3083190,05;3524661,13;4097771,11;4574311,07;5579362,45;7500028,63;7422503,13;6729213,38;
0613072;"Sosnowica (2)";3444278,05;3657270,08;3721955,23;4421490,19;4452410,80;4811851,21;4934469,93;8264813,22;5574359,47;6344142,29;
0614000;"Powiat puławski";210130276,37;242606403,88;230337143,40;266507493,29;278963868,35;333013496,92;298471767,49;336292803,01;347852419,64;409043336,57;
0614011;"Puławy (1)";126094565,06;141046013,08;134353129,92;156502178,96;156600154,00;185651100,41;164182702,98;157255940,54;176809742,25;207805093,16;
0614022;"Baranów (2)";4814033,90;4978285,50;5267242,64;6046641,28;6092648,08;10334159,02;7274999,70;10483363,29;8168677,22;8289440,20;
0614032;"Janowiec (2)";4561679,52;5877127,23;4627656,05;4955147,38;7008569,27;8424636,33;6370129,18;9857899,08;7956978,93;8191458,09;
0614043;"Kazimierz Dolny (3)";11900117,91;14397996,34;12249958,77;13074687,40;14829555,81;16703084,96;19108452,87;21089575,78;20329522,55;24108527,54;
0614052;"Końskowola (2)";11487869,06;12270218,96;12447233,66;14422935,68;19751549,08;20443393,52;18617043,95;24410874,84;24269989,31;28117130,39;
0614062;"Kurów (2)";7854014,18;8589261,48;9051681,83;11013258,57;11522459,45;17140937,99;14082020,89;18675804,44;17947843,66;23134733,44;
0614072;"Markuszów (2)";3623453,92;3826931,14;3783617,43;4613833,20;5424864,87;5465592,09;5576295,54;8427972,64;6607457,65;6607314,37;
0614083;"Nałęczów (3)";13263491,52;22027425,15;16864620,66;20426779,06;18347851,79;26656264,69;15551272,55;26648128,59;26937172,10;28044102,00;
0614092;"Puławy (2)";15389553,26;17865309,51;18394274,30;21116811,30;24624660,13;26420135,65;28945007,47;31902755,79;34884619,73;41579156,81;
0614102;"Wąwolnica (2)";5084477,78;5399198,43;5843853,50;6469840,17;6836846,28;7300012,92;7791379,42;12414313,75;8822721,53;9843591,86;
0614112;"Żyrzyn (2)";6057020,26;6328637,06;7453874,64;7865380,29;7924709,59;8474179,34;10972462,94;15126174,27;15117694,71;23322788,71;
0615000;"Powiat radzyński";69761445,11;64782273,45;70376119,49;74256605,92;84679491,88;91166935,88;91519204,64;119839426,25;109208052,55;122568703,76;
0615011;"Radzyń Podlaski (1)";33378602,12;28784089,76;31446637,20;30273676,50;34083143,91;32148411,32;34668172,25;40385232,93;42826670,03;48634309,98;
0615022;"Borki (2)";4466589,70;3748132,40;4000670,77;5273952,13;6709941,33;9518503,73;6528074,29;10253501,98;7752456,82;8165812,79;
0615032;"Czemierniki (2)";3253517,03;3602360,67;4224221,63;3910600,45;4588288,19;6275222,51;6445604,37;8760318,17;6397256,86;;
0615033;"Czemierniki (3)";;;;;;;;;;6564983,76;
0615042;"Kąkolewnica (2)";6133261,80;6585476,09;6766307,80;7777771,91;11240092,82;11258461,88;10419853,57;13578151,23;11925751,87;13178859,82;
0615052;"Komarówka Podlaska (2)";3186563,70;3238964,26;3735183,37;4185945,64;4146891,03;5834804,74;5469106,79;8778923,95;6657897,93;8104804,26;
0615062;"Radzyń Podlaski (2)";9308216,15;8528409,68;10140573,03;9834111,31;11076636,42;12368947,48;12197211,35;16752364,97;14673216,97;16798026,40;
0615072;"Ulan-Majorat (2)";3939188,89;4426526,09;4242138,62;5558088,72;5412647,57;6015165,57;7519188,19;9391590,89;7993995,85;10447173,41;
0615082;"Wohyń (2)";6095505,72;5868314,50;5820387,07;7442459,26;7421850,61;7747418,65;8271993,83;11939342,13;10980806,22;10674733,34;
0616000;"Powiat rycki";75430130,99;76827969,15;82272838,86;89323973,37;97973507,31;121632888,06;113696374,69;136629218,39;139869192,80;161474329,97;
0616011;"Dęblin (1)";29432787,60;29282525,76;29996154,41;31849078,18;36131253,54;39510800,68;40864849,50;43152267,22;44331271,74;53654831,32;
0616022;"Kłoczew (2)";5996737,72;6125829,96;6578793,08;7882280,24;8422487,71;13004696,09;11059827,70;13902916,63;11836997,37;13615618,53;
0616032;"Nowodwór (2)";2424609,08;2621212,98;2995280,03;4109088,00;3898753,01;4442218,74;4374477,16;8095655,50;5749768,02;6148879,94;
0616043;"Ryki (3)";25590398,24;26392403,56;31355168,20;32940935,79;35502305,27;47285582,54;42287805,67;47841135,08;59699898,24;69275654,92;
0616052;"Stężyca (2)";8069018,17;9457688,83;7823542,83;9341549,18;10245375,85;10977311,52;10400002,42;15965648,90;13108207,53;13668474,28;
0616062;"Ułęż (2)";3916580,18;2948308,06;3523900,31;3201041,98;3773331,93;6412278,49;4709412,24;7671595,06;5143049,90;5110870,98;
0617000;"Powiat świdnicki";103142917,27;109882110,61;112775760,62;120695335,81;146884191,47;178463510,08;168501509,62;190918051,89;178490269,15;223812597,49;
0617011;"Świdnik (1)";66600676,55;72697883,67;71169159,45;76788342,72;97072677,01;118248228,63;105927797,04;105787911,04;108001976,01;150805623,48;
0617022;"Mełgiew (2)";12109730,04;12773640,57;13722448,22;15761918,89;19133454,40;23573824,53;19977304,02;25964813,95;24159433,97;23163648,82;
0617033;"Piaski (3)";13714579,49;13064204,94;15281951,50;14342439,22;15511166,65;19538216,30;22403103,65;24193807,41;23448436,23;26451822,86;
0617042;"Rybczewice (2)";3632251,57;3462641,49;4126553,26;3816154,33;4400793,54;5665263,21;5717093,45;8806990,77;4956165,92;6318884,20;
0617052;"Trawniki (2)";7085679,62;7883739,94;8475648,19;9986480,65;10766099,87;11437977,41;14476211,46;26164528,72;17924257,02;17072618,13;
0618000;"Powiat tomaszowski";93264200,62;101010655,61;103628173,34;111299578,85;122736166,00;150132166,23;146235796,87;187851060,64;177411183,19;186502350,49;
0618011;"Tomaszów Lubelski (1)";32058222,71;34901387,47;34554624,94;37029467,16;40502940,59;49388110,30;49106733,24;53714438,19;57924897,00;66066645,82;
0618022;"Bełżec (2)";2836303,58;3557115,92;3495331,88;3754235,04;4291825,57;4652643,78;5287321,74;8036337,98;6030835,83;6325067,03;
0618032;"Jarczów (2)";3319531,62;4228911,27;4307148,55;4865820,45;5044506,39;5829753,70;5985068,04;8338385,01;7037495,05;6491298,95;
0618042;"Krynice (2)";2625020,37;2871995,29;3214783,88;3015707,08;4121159,64;4765737,22;4846515,20;7144784,98;4803622,33;5474192,93;
0618052;"Lubycza Królewska (2)";7927479,55;;;;;;;;;;
0618053;"Lubycza Królewska (3)";;7269765,56;7340861,81;7623203,45;8742580,65;11742243,11;11060329,44;13029598,58;13463202,80;12303694,28;
0618063;"Łaszczów (3)";8284875,85;8425972,53;8107676,66;8944836,12;9119456,23;10452264,04;11004908,13;13711054,70;13017561,54;13037241,38;
0618072;"Rachanie (2)";4132402,86;4121476,00;4362149,47;4774005,93;5436077,43;6423686,59;6011820,29;8928466,63;7902689,04;6830483,48;
0618082;"Susiec (2)";5043951,67;6155978,46;5820242,83;6827663,27;6793325,31;8726214,18;8475865,13;11255199,74;9619398,82;9819043,73;
0618092;"Tarnawatka (2)";3039390,68;3428274,41;4383587,04;3829797,84;4287528,65;7954844,58;5858035,42;8078692,17;6242968,99;6432158,01;
0618102;"Telatyn (2)";4226163,46;4111386,85;3871352,32;4420479,65;5673532,61;6201708,56;5024236,38;8646698,68;7978510,48;7935409,68;
0618112;"Tomaszów Lubelski (2)";9319806,77;10765069,16;11998834,32;14047649,41;14907323,30;17658543,63;17781580,34;22003162,11;24483663,72;25814413,78;
0618123;"Tyszowce (3)";5733710,57;6751801,27;7892887,88;7809999,21;8938667,01;10117135,93;9929561,18;15952636,10;11628051,10;12824194,53;
0618132;"Ulhówek (2)";4717340,93;4421521,42;4278691,76;4356714,24;4877242,62;6219280,61;5863822,34;9011605,77;7278286,49;7148506,89;
0619000;"Powiat włodawski";51975621,46;49124768,22;51481385,86;54667801,66;64841698,54;67264508,39;76655145,71;96158676,41;80194574,59;85251046,74;
0619011;"Włodawa (1)";20431514,36;20655590,37;20889583,97;22176579,71;24616808,66;26689714,02;29289038,63;28117636,51;27861064,57;31456309,85;
0619022;"Hanna (2)";3446568,77;2464519,21;2554933,84;2996028,78;3965385,01;3475834,53;3649570,55;6792191,50;4103484,84;4918118,17;
0619032;"Hańsk (2)";4052845,11;3919792,48;3657634,32;3749428,38;3913886,11;4849124,45;4620801,16;8518665,11;5366888,23;5946354,36;
0619042;"Stary Brus (2)";1564085,98;1572661,84;1765578,55;1723233,19;2076285,49;2309878,28;2027450,25;4858863,01;2148732,20;2851521,22;
0619052;"Urszulin (2)";4717407,56;5084188,36;5335110,55;5729948,87;7860523,73;9140845,90;8895413,97;11787743,81;10295504,29;10751666,60;
0619062;"Włodawa (2)";10338533,29;9008596,55;10533370,52;10992034,37;13669354,87;12786769,05;15356507,59;20473739,34;18942311,46;17194011,71;
0619072;"Wola Uhruska (2)";4753587,67;3993120,39;4218917,78;4394662,34;5544755,33;4602190,50;9603958,34;9432585,13;7661718,39;7604019,21;
0619082;"Wyryki (2)";2671078,72;2426299,02;2526256,33;2905886,02;3194699,34;3410151,66;3212405,22;6177252,00;3814870,61;4529045,62;
0620000;"Powiat zamojski";101121322,86;106065629,12;110766016,86;124696886,51;145863566,03;157165732,67;166841781,41;222490076,86;193361702,14;224687334,40;
0620012;"Adamów (2)";3268467,78;3681924,26;4110636,69;4762516,47;5522315,85;5753475,78;5759885,05;8593003,24;7082257,04;7903612,88;
0620022;"Grabowiec (2)";3655597,20;3961556,13;3803266,92;4133516,30;4292569,56;4439454,16;5386362,12;9112390,87;5778467,96;7223781,41;
0620032;"Komarów-Osada (2)";4177880,26;4451884,03;4666353,84;4586477,16;5223576,69;5961036,00;5876336,45;8838486,09;6201968,34;6561021,33;
0620043;"Krasnobród (3)";7299074,71;7091803,20;6916236,09;8103386,91;9406018,56;10616451,56;12442475,82;14906607,62;12707909,47;15302739,74;
0620052;"Łabunie (2)";5620054,25;5240495,69;5014437,76;6299708,33;5994876,93;8346499,62;8242663,19;12838323,03;9236830,71;11243733,36;
0620062;"Miączyn (2)";4587457,37;4516328,26;4859604,24;4876635,29;5503636,06;6581826,76;5998706,01;11662809,01;8864332,76;9719096,97;
0620072;"Nielisz (2)";3523651,76;4003835,06;4289774,22;5934079,01;5270878,67;5707287,38;6406353,55;12576864,12;8869208,68;7802590,36;
0620082;"Radecznica (2)";3764328,49;4095470,72;4044743,20;5078251,63;9783436,95;7769545,58;6781667,47;9822622,11;7079305,32;7448915,62;
0620092;"Sitno (2)";5743166,04;6190530,52;6496441,75;7254211,72;8862652,91;10681846,25;9684647,92;13073048,43;11717682,56;13060554,58;
0620102;"Skierbieszów (2)";6171985,67;5059408,89;5151969,78;6521535,93;6986654,96;7647590,05;7083285,96;10319044,57;8292309,66;8872335,95;
0620112;"Stary Zamość (2)";3452194,36;3757412,29;4584069,66;5697512,15;5500254,03;8438615,80;6948671,54;11400785,80;8345625,50;9263989,37;
0620122;"Sułów (2)";4187581,02;4246999,42;3589126,42;3741324,67;5386826,18;5146857,11;6181800,47;8466882,10;5804042,39;6120672,61;
0620133;"Szczebrzeszyn (3)";11994147,36;12452024,66;13845341,68;14408238,75;18401555,54;16936420,98;20914581,60;24323299,75;20516923,21;27401399,92;
0620142;"Zamość (2)";23386827,63;26155410,16;29021971,94;32045573,51;36174957,00;38533307,38;45628776,41;49823275,96;57740489,23;67546857,72;
0620153;"Zwierzyniec (3)";10288908,96;11160545,83;10372042,67;11253918,68;13553356,14;14605518,26;13505567,85;16732634,16;15124349,31;19216032,58;
0661000;"Powiat m. Biała Podlaska";102994765,46;104001069,08;109037695,64;123256645,35;142552961,00;146356806,29;149825011,49;151971521,55;161127378,97;218573517,83;
0661011;"Biała Podlaska (1)";102994765,46;104001069,08;109037695,64;123256645,35;142552961,00;146356806,29;149825011,49;151971521,55;161127378,97;218573517,83;
0662000;"Powiat m. Chełm";114523237,79;128126173,43;120423002,60;136297240,31;141944949,84;169610758,09;169151106,11;168055238,93;182448905,23;228341046,00;
0662011;"Chełm (1)";114523237,79;128126173,43;120423002,60;136297240,31;141944949,84;169610758,09;169151106,11;168055238,93;182448905,23;228341046,00;
0663000;"Powiat m. Lublin";957061503,12;998675682,11;1060208095,55;1124469008,17;1254961835,64;1194341995,88;1328114373,45;1454957570,51;1460056952,99;1824996809,99;
0663011;"Lublin (1)";957061503,12;998675682,11;1060208095,55;1124469008,17;1254961835,64;1194341995,88;1328114373,45;1454957570,51;1460056952,99;1824996809,99;
0664000;"Powiat m. Zamość";122268216,42;129734145,06;150823709,00;160967933,71;180383290,66;193518403,53;211199309,23;208873482,17;210307599,92;241837882,79;
0664011;"Zamość (1)";122268216,42;129734145,06;150823709,00;160967933,71;180383290,66;193518403,53;211199309,23;208873482,17;210307599,92;241837882,79;
0800000;"LUBUSKIE";2066221001,23;2096019222,79;2305727149,41;2487960842,75;2730016082,82;2848904903,33;3149661690,80;3521712637,77;3546897585,63;4226470724,00;
0801000;"Powiat gorzowski";144443751,52;145983736,14;160575443,33;174021245,07;191001566,87;204532708,60;219021489,04;255954155,16;256716353,66;350497152,72;
0801011;"Kostrzyn nad Odrą (1)";48823623,96;52313201,91;53935748,63;59915967,92;61822363,46;65355464,84;70004321,21;82177444,81;79322835,84;135748375,30;
0801022;"Bogdaniec (2)";12088117,09;9942759,86;13066190,20;13209678,89;17369786,89;17116356,70;16681436,88;23127929,00;17792333,50;23458368,51;
0801032;"Deszczno (2)";15939139,59;15772687,69;18755408,66;19720035,02;21087992,20;23320242,13;24784176,28;27945157,88;34010402,62;37286141,16;
0801042;"Kłodawa (2)";19015554,75;18145531,35;20261681,59;22374396,69;26337000,55;27575076,44;28925118,44;31067886,93;32664089,02;45416522,69;
0801052;"Lubiszyn (2)";13125414,68;9943698,09;14749006,76;14984535,77;16548752,29;19006626,81;17959245,07;22626839,62;20615824,29;25317929,53;
0801062;"Santok (2)";13137233,16;14541005,87;15075973,97;16857145,22;20541465,37;19750154,04;25209104,48;25361581,73;27786492,71;34021520,00;
0801073;"Witnica (3)";22314668,29;25324851,37;24731433,52;26959485,56;27294206,11;32408787,64;35458086,68;43647315,19;44524375,68;49248295,53;
0802000;"Powiat krośnieński";104066997,13;103505034,80;109880056,84;121280665,07;131010789,62;132727476,82;149885355,33;166514899,80;159098042,22;191134960,01;
0802011;"Gubin (1)";30076783,48;33310808,62;34218698,91;37090055,14;41803181,39;42183109,61;52472172,51;47892383,85;49807531,58;59688022,16;
0802022;"Bobrowice (2)";12351888,87;10611177,92;11477486,03;11713753,59;11661213,86;13396292,63;13573238,71;16702101,96;16844000,09;20258566,04;
0802032;"Bytnica (2)";5553198,14;4063947,24;4399573,65;4512884,58;5083241,08;3911662,78;4488365,87;8100323,41;5419737,90;6143334,82;
0802042;"Dąbie (2)";8599067,51;7211654,93;7149220,19;8394406,13;9121324,95;9042908,33;9238394,20;16380767,67;10471316,11;11792193,05;
0802052;"Gubin (2)";10293973,95;9644849,18;10595922,22;12175346,66;13617242,16;13478596,08;15036804,14;18245743,81;16950788,89;24291726,27;
0802063;"Krosno Odrzańskie (3)";33337447,75;34769735,04;37027621,14;40025048,04;43000873,71;45169005,18;49109128,70;50214421,87;53386993,41;62358561,10;
0802072;"Maszewo (2)";3854637,43;3892861,87;5011534,70;7369170,93;6723712,47;5545902,21;5967251,20;8979157,23;6217674,24;6602556,57;
0803000;"Powiat międzyrzecki";116228275,78;110880031,50;117453316,29;127342820,14;144092343,20;158100207,26;174799386,04;190338864,41;197240865,50;238081675,65;
0803012;"Bledzew (2)";8249778,35;7229012,52;7560095,57;7493281,91;8014387,51;10604480,83;15156891,88;13547510,15;11175458,27;13115622,18;
0803023;"Międzyrzecz (3)";49337442,03;48325078,49;53210525,94;56672550,40;66349483,49;72930934,97;77490669,25;78945156,90;84590113,93;101808711,20;
0803032;"Przytoczna (2)";12844081,33;12610990,90;12814237,29;13432472,02;15407733,91;15125527,45;16105428,63;23001440,50;27203124,81;36457346,80;
0803042;"Pszczew (2)";12566936,36;11387644,05;11116183,92;13013992,20;11127015,57;14778108,74;14136242,50;20078928,77;17610836,92;19232582,45;
0803053;"Skwierzyna (3)";22471131,41;23016021,09;23661739,43;25688851,86;32728042,95;29847312,28;34981066,60;35558131,01;37449531,80;43866279,70;
0803063;"Trzciel (3)";10758906,30;8311284,45;9090534,14;11041671,75;10465679,77;14813842,99;16929087,18;19207697,08;19211799,77;23601133,32;
0804000;"Powiat nowosolski";137350514,29;132200075,20;152051004,10;156483744,33;206442559,83;199438824,69;242701074,75;248792568,11;231862682,16;273907515,98;
0804011;"Nowa Sól (1)";73144314,98;72336429,64;85196117,37;83159483,69;117521490,09;104023585,87;121798816,16;126580306,18;120626625,38;150396353,74;
0804023;"Bytom Odrzański (3)";7623651,40;5962765,64;7073319,67;9156411,95;8548602,58;10025721,67;13204269,05;13980151,40;14826984,26;13831315,60;
0804032;"Kolsko (2)";4163562,35;3806448,80;4952269,84;4535909,73;6322656,18;6956488,48;6940072,04;10652552,01;9869908,01;9303367,93;
0804043;"Kożuchów (3)";20282946,61;20314473,99;22145940,98;23647501,27;28702665,95;28525008,87;31138670,23;34830954,07;32527762,37;36296975,81;
0804052;"Nowa Sól (2)";10785700,94;9999757,72;10300068,14;12863958,83;15122729,12;18561071,19;24944927,15;20241611,18;17125466,39;21762734,17;
0804063;"Nowe Miasteczko (3)";8866581,73;7837873,67;7850211,55;8557743,93;9713708,19;10248856,08;12668631,18;13447541,67;13676745,90;11341329,09;
0804072;"Otyń (2)";8639643,85;8420690,14;10504747,86;;;;;;;;
0804073;"Otyń (3)";;;;10301199,56;15829745,90;14849358,82;23045953,77;21118522,05;17787090,56;24771222,93;
0804082;"Siedlisko (2)";3844112,43;3521635,60;4028328,69;4261535,37;4680961,82;6248733,71;8959735,17;7940929,55;5422099,29;6204216,71;
0805000;"Powiat słubicki";101742552,02;106479360,53;123030883,07;127234623,72;134841793,56;145862924,84;180829767,66;215036868,31;186910300,13;225236899,00;
0805013;"Cybinka (3)";10440896,36;10470627,05;10279930,09;12226075,34;15079242,13;13137355,28;15212343,48;29703970,31;17416376,15;20290761,54;
0805022;"Górzyca (2)";8907390,91;8465127,66;9775528,29;9917304,36;10545309,44;12836984,23;14472679,24;20063782,22;14906433,39;16905249,60;
0805033;"Ośno Lubuskie (3)";14942102,90;15479972,54;15905468,14;16383404,73;17162379,35;21644180,52;23108711,52;25245620,81;22992429,21;27528610,24;
0805043;"Rzepin (3)";19162898,36;20203642,93;28380014,00;24483687,48;22906733,48;27427667,18;41639486,41;36469077,87;34382292,52;43157175,69;
0805053;"Słubice (3)";48289263,49;51859990,35;58689942,55;64224151,81;69148129,16;70816737,63;86396547,01;103554417,10;97212768,86;117355101,93;
0806000;"Powiat strzelecko-drezdenecki";84578506,83;86987480,91;94754532,69;101456823,04;110000568,38;121330031,00;132312034,90;139051592,32;149867991,36;174215160,45;
0806013;"Dobiegniew (3)";10310570,15;10660240,22;11659144,11;12334664,53;13700592,16;17732366,32;21669897,43;19698117,92;24036954,05;25778155,25;
0806023;"Drezdenko (3)";39125511,75;39691167,33;44132501,46;45466036,27;51054937,62;54819494,55;55616175,99;58327872,81;62062858,12;68442892,06;
0806032;"Stare Kurowo (2)";4444245,25;5175390,61;5360747,88;6264085,84;5687133,62;7489256,01;7107208,20;9371378,42;9377887,22;10403629,52;
0806043;"Strzelce Krajeńskie (3)";24828962,20;25638621,84;26513347,17;29628747,44;30932031,68;31872755,44;36123413,26;38736889,04;43704412,54;56495194,89;
0806052;"Zwierzyn (2)";5869217,48;5822060,91;7088792,07;7763288,96;8625873,30;9416158,68;11795340,02;12917334,13;10685879,43;13095288,73;
0807000;"Powiat sulęciński";66771490,62;63542274,38;67133618,80;72613988,44;91421445,77;95108906,43;104345345,65;113280677,09;106460566,02;122262687,89;
0807012;"Krzeszyce (2)";7816220,27;6872901,71;6837726,02;8526196,49;10218285,64;12493614,39;11273037,35;14371024,50;11395134,04;12073600,50;
0807023;"Lubniewice (3)";6276117,13;5761532,96;6486228,19;7282535,59;8697873,23;8942327,47;8271634,04;11014411,06;8675327,70;9700050,40;
0807032;"Słońsk (2)";7231404,58;6795566,92;6823845,52;8138619,06;12329546,14;11529692,85;12861818,80;19204056,27;15663159,38;16993234,63;
0807043;"Sulęcin (3)";33334525,57;31189897,40;35219829,78;35454802,15;46245403,37;47675650,73;53681485,35;49914426,35;52922818,68;60055912,20;
0807053;"Torzym (3)";12113223,07;12922375,39;11765989,29;13211835,15;13930337,39;14467620,99;18257370,11;18776758,91;17804126,22;23439890,16;
0808000;"Powiat świebodziński";114675898,45;109378673,17;117994630,08;129499799,84;139286157,73;160753251,58;172866172,80;207570297,92;198476429,14;229983069,73;
0808012;"Lubrza (2)";7269058,35;6206204,45;6759912,04;9032816,84;8174790,38;10318048,49;9739890,90;14236319,70;12971368,87;16759478,38;
0808022;"Łagów (2)";8590736,14;9114969,31;8907874,10;10733349,87;12064206,69;13617088,77;13747233,43;16692036,06;13782667,17;18287708,69;
0808032;"Skąpe (2)";12315036,89;9502802,94;9635805,35;11369780,96;11408426,07;14827744,09;14263488,26;17710293,91;13849038,00;19083180,71;
0808042;"Szczaniec (2)";5411254,64;5924074,61;6205746,17;6597259,63;8536779,92;9378152,48;8775435,89;13252684,45;10039469,13;12657046,45;
0808053;"Świebodzin (3)";58416071,62;55607797,09;62618532,31;67341336,95;70466307,58;78143482,66;90305643,40;103658611,22;112546344,93;117640490,32;
0808063;"Zbąszynek (3)";22673740,81;23022824,77;23866760,11;24425255,59;28635647,09;34468735,09;36034480,92;42020352,58;35287541,04;45555165,18;
0809000;"Powiat zielonogórski";147995442,40;139833713,52;157307420,47;177344653,53;188772680,29;207422932,79;230922841,13;251964494,72;256086092,80;317409412,55;
0809013;"Babimost (3)";18864859,22;15776062,39;16861218,36;17990062,80;20185823,41;19201326,27;23607699,58;26695348,21;25768046,08;29999835,83;
0809022;"Bojadła (2)";7921448,18;4536832,78;4882781,87;4807189,28;6552203,46;6761892,10;6309237,90;10244098,72;6933599,44;7895798,21;
0809033;"Czerwieńsk (3)";17212643,72;18106899,67;18252839,40;20588918,40;23170505,22;24378062,36;28303028,42;30295174,55;37900673,40;39380540,63;
0809043;"Kargowa (3)";10162691,57;10202772,96;10607543,65;12779428,25;13687945,02;14192105,55;17738800,97;17804506,45;17202925,07;22055419,64;
0809053;"Nowogród Bobrzański (3)";15389233,15;15739109,16;16024889,63;18173447,92;20514868,22;22754959,08;24645947,01;26841480,36;25261871,81;36736185,04;
0809063;"Sulechów (3)";48659283,97;47658398,20;57946764,43;64150589,18;60710162,57;72062197,10;81644803,50;83360660,96;92369388,87;111797925,07;
0809072;"Świdnica (2)";15621013,85;16019947,49;17229041,50;19732996,93;21475711,81;27540530,71;29684385,81;29893844,30;25928426,19;38756866,09;
0809082;"Trzebiechów (2)";6090027,43;4467470,07;5645667,12;8155509,50;9133303,81;6458730,39;6539476,88;10151054,23;9569911,94;8834151,22;
0809092;"Zabór (2)";8074241,31;7326220,80;9856674,51;10966511,27;13342156,77;14073129,23;12449461,06;16678326,94;15151250,00;21952690,82;
0810000;"Powiat żagański";144480447,33;135709872,99;148046436,58;160790480,16;174524522,80;196774908,38;195607191,71;275242719,72;248175956,28;276650663,52;
0810011;"Gozdnica (1)";5742212,35;5303295,95;5848455,68;5874807,87;6874078,64;8588361,34;6787859,80;9855230,32;7578717,27;10470714,27;
0810021;"Żagań (1)";47072060,82;48178816,66;53081127,31;55691511,61;60694554,81;69266670,81;68263707,54;70649663,09;74722611,05;88469916,82;
0810032;"Brzeźnica (2)";5485259,77;4834587,54;4784739,20;5237734,84;5480102,69;6846696,70;6354872,17;10144865,05;8201154,26;9777068,14;
0810043;"Iłowa (3)";10378076,75;10142099,51;11586905,31;20368181,73;22029794,80;22056219,35;20086069,04;46765744,45;35653361,16;35910472,56;
0810053;"Małomice (3)";5739163,13;6063145,32;6417687,02;6659678,62;7917532,61;8119801,67;8962683,60;12117598,00;11213310,88;12301332,11;
0810062;"Niegosławice (2)";6435376,55;5171583,30;10664290,06;9967986,61;8434934,08;13857599,64;9437525,13;16306334,19;13713934,29;11756335,94;
0810073;"Szprotawa (3)";42717858,92;38980435,31;38352633,48;38634129,86;41754822,48;43341260,02;51140519,02;76445105,69;69853941,75;74562560,29;
0810082;"Wymiarki (2)";5406687,75;3616971,96;3908321,05;4505193,93;5071458,32;5348254,90;5129438,86;8769489,88;5593963,17;6297927,16;
0810092;"Żagań (2)";15503751,29;13418937,44;13402277,47;13851255,09;16267244,37;19350043,95;19444516,55;24188689,05;21644962,45;27104336,23;
0811000;"Powiat żarski";183113568,90;182625096,47;196489339,81;204444448,94;230142301,02;239747405,53;255629592,73;295822246,59;285829876,70;327267963,25;
0811011;"Łęknica (1)";7356417,76;7101941,88;7488899,42;7971634,49;9580112,49;9783103,96;8788518,41;12336119,09;10853065,98;11664877,92;
0811021;"Żary (1)";85532014,16;85678102,92;91087130,69;94790779,46;105637993,32;104181369,91;111997499,81;123536066,66;118404759,93;147017664,24;
0811032;"Brody (2)";5407877,33;5672796,39;5865225,64;6447215,78;6732759,58;7278513,03;7211940,52;10536029,73;11587267,53;;
0811033;"Brody (3)";;;;;;;;;;10259248,05;
0811043;"Jasień (3)";9540724,25;10518762,07;10908886,84;12290475,00;14676077,96;13713749,32;17697166,94;19209024,99;21825832,63;20517397,60;
0811052;"Lipinki Łużyckie (2)";4425743,60;4010207,69;4406431,68;5122943,69;5086822,72;7380981,95;7996600,56;10352332,73;8127557,68;9959455,70;
0811063;"Lubsko (3)";32456057,09;30366142,82;32135384,15;32307976,77;35752394,82;39368585,27;41216902,67;45155270,57;47613286,44;49382273,43;
0811072;"Przewóz (2)";5275184,08;5129035,47;5190452,55;5985543,75;6132890,17;8562668,37;8082635,30;10611710,30;8486147,68;9362293,72;
0811082;"Trzebiel (2)";7993590,42;7202011,65;8120317,58;8202026,73;12296743,46;10740421,75;10022772,97;13989547,00;13285505,20;13567947,27;
0811092;"Tuplice (2)";4620035,44;4379852,57;4626787,89;5197025,88;6065832,02;6101523,67;7699194,30;9134870,43;6597390,04;7923191,53;
0811102;"Żary (2)";20505924,77;22566243,01;26659823,37;26128827,39;28180674,48;32636488,30;34916361,25;40961275,09;39049063,59;47613613,79;
0812000;"Powiat wschowski";56316397,34;58433657,29;63341096,67;67429383,88;70946602,88;77758594,79;79139818,03;93547346,77;95613407,01;102826093,89;
0812013;"Sława (3)";21109433,16;23483258,11;25126695,36;28052178,71;28718152,22;30384944,02;29642011,79;38048129,95;36869922,58;39850127,70;
0812023;"Szlichtyngowa (3)";6449829,21;6817977,37;8168468,01;7498636,06;8231202,68;11133345,95;9781384,01;12045707,69;14354046,79;12470887,28;
0812033;"Wschowa (3)";28757134,97;28132421,81;30045933,30;31878569,11;33997247,98;36240304,82;39716422,23;43453509,13;44389437,64;50505078,91;
0861000;"Powiat m. Gorzów Wielkopolski";294268479,58;323250009,52;328955724,64;354124280,16;376084809,56;402451914,22;416816194,21;436008817,06;440835844,11;548437496,13;
0861011;"Gorzów Wielkopolski (1)";294268479,58;323250009,52;328955724,64;354124280,16;376084809,56;402451914,22;416816194,21;436008817,06;440835844,11;548437496,13;
